id;judul_buku;penulis;penerbit
194;Auditing syari'ah: akuntabilitas sistem pemeriksaan laporan keuangan# Rusdiana;Rusdiana ;Pustaka Setia
195;Mengenal ilmu bayan: terjemahan lengkap disertai penjelasan# 'Arif billah al-'Allamah syeikh Ahmad ad-Dardir;Arif billah al-'Allamah syeikh Ahmad ad-Dardir ;Haramain
196;Motivasi pembelajaran perspektif guru dan siswa# Kompri;Kompri ;Remaja Rosdakarya
197;Kapita selekta komunikasi# Suryanto;Suryanto ;Pustaka Setia
198;Kapita selekta perkembangan hukum pidana di indonesia# Muntaha;Muntaha ;Kencana 
199;Bunga rampai hipertensi pada kasus kardiovaskular# Bunga;Bunga ;Andi
200;Gizi dan upaya pembentukan keluarga sadar gizi: buku ajar# Rizki Natia Wiji;Rizki Natia Wiji ;Gosyen Publishing 
201;Penelitian eksperimen dalam psikologi# Ahmad Saifuddin;Ahmad Saifuddin ;Prenadamedia Group 
202;Cara menggunakan dan memaknai path analysis (analisis Jalur): lengkap dengan contoh tesis dan perhitungan SPSS 17.0# Riduwan;Riduwan ;Alfabeta 
203;Bertanam mangga dalam pot# Bertanam;Bertanam ;Penebar Swadaya
204;Pengantar metode komputasi untuk sains dan teknik# Setio Utomo;Setio Utomo ;Gadjah Mada University Press 
205;Ekonomi teknik# Panut Mulyono;Panut Mulyono ;Gadjah Mada University Press
206;Strategi manajemen portofolio investasi saham# Raymond Budiman;Raymond Budiman ;Elex Media Komputindo
207;Buku sakti pengantar akuntansi# Wildana Nur Ardhianto;Wildana Nur Ardhianto ;Quadrant
208;Pokok-pokok hukum perpajakan# Angger Sigit Pramukti;Angger Sigit Pramukti ;Pustaka Yustisia
209;Analisis dan perancangan sistem informasi menggunakan model terstruktur dan UML# Muhamad Muslihudin;Muhamad Muslihudin ;Andi 
210;Teknik cepat menguasai archicad 10: mendesain arsitektur bangunan & interior 3D serta presentasi video animasi# Ricardo Siahaan ;Ricardo Siahaan ;Andi
211;Desain interior dengan 3ds max 2009# Gilang Wiradinata;Gilang Wiradinata ;Andi
212;Pengantar sosiologi sastra: teori dan kritik terhadap karya sastra dilengkapi contoh analisis# Nurholis;Nurholis ;Pustaka Setia
213;Hak dan kewajiban hukum tenaga kerja indonesia (TKI) di luar negeri# Ismantoro Dwi Yuwono;Ismantoro Dwi Yuwono ;Pustaka Yustisia
214;33 desain rumah bertingkat di kaveling standar dan kaveling hook# Asep Awaluddin;Asep Awaluddin ;Griya Kreasi 
215;Pemrograman C dan C++# Adam Mukharil Bachtiar;Adam Mukharil Bachtiar ;Informatika 
216;Ekonomi dan keuangan syariah: isu-isu kontemporer# Hendri Tanjung;Tanjung, Hendri ;Elex Media Komputindo 
217;Buku pedoman ornamen aceh utara warisan indatu samudra pase# Buku;Buku ;Majelis Adat Aceh
218;Buku sakti pemrograman web html, css, php, mysql dan javascript# Didik Setiawan;Didik Setiawan ;Start Up
219;Buku sakti pemrograman web seri php: dilengkapi dengan pengantar mysql database# Mundzir MF;Mundzir MF ;Start Up
220;Metodologi penelitian# Elvera;Elvera ;Andi
221;Populasi-sampel teknik sampling & bias dalam penelitian# I Ketut Swarjana;I Ketut Swarjana ;Andi
222;Dasar-dasar aljabar linear dan penggunaannya dalam berbagai bidang# Indah Emilia Wijayanti;Indah Emilia Wijayanti ;Gadjah Mada University Press 
223;Metode penelitian: kuantitatif, kualitatif, dan tindakan# Uhar Suharsaputra;Uhar Suharsaputra ;Refika Aditama
224;Belajar kilat adobe photoshop langsung bisa!# Arista prasetyo Adi;Arista prasetyo Adi ;Elex Media Komputindo 
225;Teknologi ilmu jaringan dan imunohistokimia# I Ketut Sudiana;I Ketut Sudiana ;Sagung Seto
226;Dari berpikir positif ke bertindak positif: pendekatan baru yang radikal untuk mengubah hidup anda menjadi lebih baik# Richard Wiseman;Wiseman, Richard ;Gemilang
227;Panduan praktis microsoft word 2019# Nurika Miftakul Janah;Nurika Miftakul Janah ;Andi
228;Arsitektur ekologis: konsep arsitektur ekologis di iklim tropis, penghijauan kota dan kota ekologis, serta energi terbarukan# Heinz Frick;Heinz Frick ;Kanisius
229;Teknik rahasia microsoft excel untuk semua versi# Teknik;Teknik ;Andi
230;reformasi administrasi publik: teori dan praktik# Chaizi Nasucha;Chaizi Nasucha ;Grasindo
231;Teori dan aplikasi teknik elektronika# Daryanto;Daryanto ;Gava Media
232;Kitab desain grafis komplet untuk pemula# Kitab;Kitab ;Elex Media Komputindo
233;Mudah menguasai framework laravel# Yudho Yudhanto;Yudho Yudhanto ;Elex Media Komputindo 
234;Sastra lisan indonesia# Adriyetti Amir;Adriyetti Amir ;Andi
235;Mengenal sastra lama: jenis, definisi, ciri, sejarah, & contoh# Eko Sugiarto;Eko Sugiarto ;Andi
236;Metode penelitian: dengan pendekatan kualitatif dan kuantitatif# Andra Tersiana;Andra Tersiana ;Anak Hebat Indonesia 
237;Jurus kilat membuat jaringan komputer# Alexius Satyo Widijanuarto;Alexius Satyo Widijanuarto ;Dunia Komputer
238;Pengantar hukum investasi di indonesia# Aris Prio Agus Santoso;Aris Prio Agus Santoso ;Pustaka Baru Press
239;Pengantar sosiologi politik# Elly M. Setiadi;Elly M. Setiadi ;Kencana 
240;Pengantar hukum indonesia (suatu interpretasi dasar)# Aris Prio Agus Santoso;Aris Prio Agus Santoso ;Pustaka Baru Press 
241;Pemasaran syariah: teori & aplikasi# Pemasaran;Pemasaran ;Kencana
242;Pengantar basis data# Pengantar;Pengantar ;Rajawali Pers 
243;Manajemen: teori dan aplikasi# Said Achmad Kabiru Rafiie;Said Achmad Kabiru Rafiie ;Alfabeta
244;Mudah & cepat membuat website dengan codelgniter# Mudah;Mudah ;Andi
245;Metode penelitian R&D (research and development): kajian teoretis dan aplikatif# Risa Nur Sa'adah;Risa Nur Sa'adah ;Literasi Nusantara
246;Physical computing dengan raspberry pi# Andi Dinata;Andi Dinata ;Elex Media Komputindo
247;Literasi matematis, ethnomathematics, dan ethnomodeling: berdasarkan tinjauan historis, filosofis, dan praktis# Uba Umbara;Uba Umbara ;Refika Aditama
248;Cooperative learning: efektifitas pembelajaran kelompok# Isjoni;Isjoni ;Alfabeta
249;A practical guidance to executive compensation management: manajemen kompensasi eksekutif# Yussy Santoso;Yussy Santoso ;Elex Media Komputindo 
250;Geometri: dengan pembuktian dan pemecahan masalah# Al Jupri;Al Jupri ;Bumi Aksara
251;Analisis data dengan statistika nonparametrik# Nar Herrhyanto;Nar Herrhyanto ;Yrama Widya
252;Analisis statistika dengan model persamaan struktural (SEM): teoritis dan praktis# Muji Gunarto;Muji Gunarto ;Alfabeta 
253;Hukum dagang: perkembangan buku kesatu kitab undang-undang hukum dagang indonesia# Ramlan;Ramlan ;Setara Press
254;Firebase membangun aplikasi berbasis android# Rosyana Fitria Purnomo;Rosyana Fitria Purnomo ;Andi
255;Menguasai pemrograman arduino dan robotik# Widodo Budiharto;Widodo Budiharto ;Andi
